,countries,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total
0,Botswana,11,0,1,1,2
1,Burkina Faso,10,0,0,1,1
2,Burundi,7,1,1,0,2
3,Cameroon,15,3,1,2,6
4,Ivory Coast,14,1,1,2,4
5,Djibouti,9,0,0,1,1
6,Eritrea,6,0,0,1,1
7,Ethiopia,14,23,12,23,58
8,Gabon,11,0,1,0,1
9,Ghana,15,0,1,4,5
10,Kenya,15,35,42,36,113
11,Mauritius,10,0,0,1,1
12,Mozambique,11,1,0,1,2
13,Namibia,8,0,5,0,5
14,Niger,13,0,1,1,2
15,Nigeria,17,3,11,13,27
16,Senegal,15,0,1,0,1
17,South Africa,20,27,33,29,89
18,Sudan,13,0,1,0,1
19,Tanzania,14,0,2,0,2
20,Togo,11,0,0,1,1
21,Uganda,16,4,4,3,11
22,Zambia,14,0,1,1,2
23,Zimbabwe,14,3,4,1,8
