,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Botswana,0,0,0,0,0
1,Burkina Faso,0,0,0,0,0
2,Burundi,0,0,0,0,0
3,Cameroon,1,0,0,0,0
4,Ivory Coast,0,0,0,0,0
5,Djibouti,0,0,0,0,0
6,Eritrea,2,0,0,0,0
7,Ethiopia,2,0,0,0,0
8,Gabon,0,0,0,0,0
9,Ghana,3,0,0,0,0
10,Kenya,4,0,0,0,0
11,Mauritius,0,0,0,0,0
12,Mozambique,0,0,0,0,0
13,Namibia,0,0,0,0,0
14,Niger,0,0,0,0,0
15,Nigeria,2,0,0,0,0
16,Senegal,5,0,0,0,0
17,South Africa,7,0,0,0,0
18,Sudan,0,0,0,0,0
19,Tanzania,0,0,0,0,0
20,Togo,2,0,0,0,0
21,Uganda,0,0,0,0,0
22,Zambia,0,0,0,0,0
23,Zimbabwe,1,0,0,0,0
